第一關
教學關卡，練習基礎建塔與路線判讀
簡單
tile-type-platform,tile-type-platform,tile-type-platform,tile-type-platform,tile-type-platform,tile-type-platform,tile-type-platform,tile-type-platform,tile-type-platform,tile-type-platform
tile-type-platform,tile-type-spawn-portal,tile-type-platform,tile-type-road-xoox,tile-type-road-xoxo,tile-type-road-xoxo,tile-type-road-xoxo,tile-type-road-xoxo,tile-type-road-xxoo,tile-type-platform
tile-type-platform,tile-type-road-oxox,tile-type-platform,tile-type-road-oxox,tile-type-spawn-portal,tile-type-platform,tile-type-platform,tile-type-spawn-portal,tile-type-road-oxox,tile-type-platform
tile-type-platform,tile-type-road-oxox,tile-type-platform,tile-type-road-oxox,tile-type-platform,tile-type-target-base,tile-type-road-xxoo,tile-type-platform,tile-type-road-oxox,tile-type-platform
tile-type-platform,tile-type-road-oxox,tile-type-platform,tile-type-road-oxox,tile-type-platform,tile-type-platform,tile-type-road-oxox,tile-type-platform,tile-type-road-oxox,tile-type-platform
tile-type-platform,tile-type-road-oxox,tile-type-platform,tile-type-road-oxox,tile-type-platform,tile-type-platform,tile-type-road-oxox,tile-type-platform,tile-type-road-oxox,tile-type-platform
tile-type-platform,tile-type-road-oxox,tile-type-platform,tile-type-road-ooxx,tile-type-road-xoxo,tile-type-road-xoxo,tile-type-road-ooxo,tile-type-road-xoxo,tile-type-road-oxox,tile-type-platform
tile-type-platform,tile-type-road-oxox,tile-type-platform,tile-type-platform,tile-type-platform,tile-type-platform,tile-type-platform,tile-type-platform,tile-type-road-oxox,tile-type-platform
tile-type-platform,tile-type-road-ooxx,tile-type-road-xoxo,tile-type-road-xoxo,tile-type-road-xoxo,tile-type-road-xoxo,tile-type-road-xoxo,tile-type-road-xoxo,tile-type-road-oxxo,tile-type-platform
tile-type-platform,tile-type-platform,tile-type-platform,tile-type-platform,tile-type-platform,tile-type-platform,tile-type-platform,tile-type-platform,tile-type-platform,tile-type-platform
